city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
宿州,61,17,32,0.4,29,112,111,7
塔城地区,69,3,7,0.4,17,167,121,4
泰安,61,22,50,0.67,15,97,112,3
太仓,137,37,82,0.55,46,145,199,16
太原,158,84,149,1.09,24,179,222,8
台州,77,17,39,0.37,7,78,131,5
泰州,65,23,57,0.7,29,84,116,8
唐山,61,38,69,0.93,37,77,90,24
天津,58,40,54,1.06,43,81,72,10
天水,99,48,106,0.7,35,110,157,7
铁岭,58,25,64,0.43,24,45,74,11
铜川,118,44,113,1.25,39,128,178,14
通化,22,8,21,0.8,10,41,43,5
通辽,68,27,84,0.23,13,101,112,6
铜陵,50,27,49,0.45,28,83,92,26
铜仁地区,54,11,56,0.55,7,89,98,15
吐鲁番地区,56,17,60,0.4,8,73,77,7
瓦房店,38,26,24,0.55,20,29,44,2
潍坊,54,17,29,0.54,35,61,103,3
威海,66,34,49,0.57,33,84,118,7
渭南,133,32,101,0.75,28,162,195,7
文登,66,45,62,0.7,25,83,118,4
文山州,61,27,69,0.65,11,99,104,5
温州,53,20,53,0.7,12,49,98,7
乌海,60,33,68,0.67,20,82,110,11
武汉,70,31,79,0.7,33,95,122,5
芜湖,64,30,58,0.8,47,72,115,5
吴江,96,46,91,0.87,50,115,154,14
五家渠,75,7,37,0.8,8,134,128,17
乌兰察布,71,28,74,0.2,11,115,124,17
乌鲁木齐,62,15,38,0.63,17,130,113,10
武威,95,48,137,0.55,18,98,104,4
无锡,100,25,59,0.41,25,112,159,8
吴忠,110,48,167,0.27,11,80,93,18
梧州,53,26,53,0.98,31,47,73,6
厦门,29,16,20,0.28,20,32,56,5
西安,162,42,111,1.15,62,155,226,8
湘潭,51,28,39,0.66,19,80,100,12
湘西州,54,32,55,0.87,14,72,88,4
襄阳,110,33,73,0.8,18,114,169,7
咸宁,69,22,40,1.0,9,111,121,1
咸阳,160,39,124,0.98,44,171,224,11
孝感,82,24,51,0.8,4,122,137,8
锡林郭勒盟,50,10,49,0.55,17,93,95,8
兴安盟,51,16,32,0.35,17,86,100,3
邢台,81,36,59,0.73,19,119,135,10
西宁,126,95,171,1.2,27,71,73,8
新乡,86,26,79,1.3,36,96,141,11
信阳,81,34,80,0.5,9,125,135,5
新余,57,29,53,1.62,43,84,107,54
忻州,137,71,136,1.13,30,138,199,15
西双版纳州,52,19,51,0.6,11,89,97,9
宣城,52,28,52,0.47,22,71,86,6
许昌,112,29,64,0.93,26,126,172,6
徐州,47,21,32,0.8,20,61,93,9
雅安,132,79,110,0.78,40,152,194,17
延安,109,39,79,1.33,49,108,168,11
延边州,41,15,34,0.47,14,81,80,8
盐城,83,20,32,0.76,38,85,138,10
阳江,24,8,17,0.6,5,42,47,8
阳泉,160,121,149,1.2,19,191,211,7
扬州,90,23,128,0.85,70,42,113,9
烟台,61,19,27,0.58,43,77,111,7
宜宾,189,73,104,1.05,30,190,253,16
宜昌,62,27,72,0.92,50,60,107,8
宜春,50,26,41,0.62,14,76,99,10
伊春,34,13,33,0.27,16,20,57,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,70,15,14,0.33,11,131,122,7
银川,97,46,142,0.54,19,94,114,23
营口,60,16,33,0.6,17,101,110,4
鹰潭,56,12,25,0.28,11,94,106,7
义乌,64,28,49,0.55,64,44,115,11
宜兴,75,24,46,0.65,40,89,128,9
益阳,70,14,38,0.66,10,97,122,5
永州,52,27,52,0.52,20,67,78,14
岳阳,72,23,48,0.5,14,113,125,12
玉林,41,25,33,0.77,19,64,80,22
榆林,123,47,194,0.93,30,107,183,16
运城,124,33,56,1.04,29,160,185,14
云浮,36,12,20,0.5,15,51,71,10
玉树州,49,6,19,0.3,5,102,97,5
玉溪,66,19,55,0.67,14,106,117,7
枣庄,54,18,43,0.43,15,109,103,5
张家港,96,19,55,0.5,29,114,153,12
张家界,50,30,49,0.9,28,67,96,7
张家口,133,43,77,0.96,22,122,195,11
章丘,35,20,30,0.75,28,65,69,8
张掖,61,31,45,0.25,15,98,111,4
漳州,47,14,46,0.53,16,50,88,8
湛江,33,14,32,0.57,5,33,53,4
肇庆,41,15,22,0.45,11,57,81,7
昭通,71,8,37,0.3,10,119,123,8
招远,48,18,27,0.65,14,69,95,6
郑州,91,58,109,1.14,47,133,147,5
镇江,58,35,64,0.75,66,47,108,6
中山,35,13,20,0.5,8,39,68,4
中卫,169,92,285,0.67,10,104,112,8
周口,63,31,66,0.73,19,80,114,6
舟山,36,14,29,0.6,12,57,70,6
珠海,29,12,19,0.45,10,44,56,3
诸暨,0,0,0,0.0,0,0,0,0
驻马店,67,39,64,0.77,25,77,119,16
株洲,51,27,38,0.43,16,76,100,9
淄博,50,31,44,1.83,40,61,98,9
自贡,195,64,104,0.95,35,221,259,9
资阳,127,36,79,0.64,29,153,188,8
遵义,91,35,66,0.68,28,115,148,14
