City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
黔西南州,56,8,34,0.55,8,115,106,2
青岛,78,22,40,0.36,36,93,132,5
庆阳,186,96,320,0.4,8,139,130,5
清远,55,22,42,0.53,24,147,104,8
秦皇岛,49,25,48,0.74,28,86,56,9
钦州,28,13,27,0.6,6,58,52,8
齐齐哈尔,49,18,40,0.38,8,101,97,3
七台河,51,27,34,0.27,10,64,100,11
泉州,37,12,31,0.48,8,61,73,7
曲靖,69,23,42,0.5,8,139,121,9
衢州,63,16,35,0.5,46,127,114,14
日喀则,126,51,199,0.6,5,137,132,4
日喀则地区,29,6,27,0.35,2,68,56,5
日照,55,12,25,0.73,34,83,104,10
荣成,51,34,50,0.6,40,49,86,9
乳山,65,46,48,0.7,13,116,104,6
三门峡,111,30,58,0.7,10,198,171,8
三明,54,17,37,1.8,22,110,103,24
三沙,30,7,20,0.3,30,51,58,6
三亚,21,9,12,0.55,3,39,41,3
上海,140,43,77,0.65,31,209,202,14
商洛,56,33,50,0.6,16,142,106,20
商丘,63,18,41,0.57,5,112,114,5
上饶,50,10,40,1.0,5,90,99,4
山南,83,24,26,0.6,10,162,138,3
山南地区,40,5,21,0.45,6,65,79,4
汕头,35,18,32,0.57,7,62,68,8
汕尾,29,13,27,0.63,4,61,56,7
韶关,83,34,62,0.64,21,185,117,12
绍兴,86,25,88,0.42,9,156,142,6
邵阳,52,24,51,0.46,8,92,93,9
沈阳,61,33,70,0.81,29,87,104,11
深圳,30,12,21,0.39,19,62,59,7
石河子,52,8,13,0.4,6,117,101,9
石家庄,79,55,87,0.75,11,142,133,7
十堰,62,38,61,0.78,14,140,113,18
石嘴山,158,50,263,0.4,12,118,113,15
寿光,33,7,7,1.0,22,64,64,2
双鸭山,33,10,16,0.35,9,70,65,2
朔州,104,21,107,0.84,20,206,163,11
四平,47,28,46,0.4,12,63,80,2
松原,70,13,88,0.25,7,125,104,2
绥化,32,18,27,0.3,7,72,62,5
遂宁,121,49,83,0.6,14,202,181,15
随州,65,31,50,0.53,5,130,116,1
宿迁,46,14,24,0.7,22,78,91,8
苏州,90,27,56,0.41,20,150,146,6
宿州,57,23,35,0.3,29,99,107,6
塔城地区,48,7,0,0.3,16,126,95,4
泰安,58,23,25,0.6,11,124,108,2
太仓,140,30,80,0.55,22,198,202,13
太原,142,58,121,0.91,16,247,205,14
台州,87,27,52,0.33,8,132,143,5
泰州,70,18,65,0.5,17,119,122,12
唐山,65,43,78,2.1,39,111,79,59
天津,74,53,70,1.19,41,82,54,12
天水,86,36,62,0.55,9,177,141,7
铁岭,64,18,75,0.3,16,38,89,10
铜川,107,39,80,1.2,22,184,166,23
通化,24,6,19,0.8,11,52,46,6
通辽,74,31,96,0.23,11,121,97,5
铜陵,52,23,51,0.45,19,95,95,14
铜仁地区,47,8,44,0.5,9,99,92,13
吐鲁番地区,48,18,47,0.4,6,78,71,7
瓦房店,30,21,0,0.5,21,42,45,3
潍坊,71,11,20,0.24,26,100,123,3
威海,63,31,70,0.67,43,117,114,10
渭南,114,32,83,0.65,12,226,163,11
文登,72,40,91,0.7,20,117,115,4
文山州,54,18,45,0.6,9,107,103,5
温州,65,22,55,0.7,12,89,116,7
乌海,81,39,110,0.47,9,112,120,7
武汉,68,26,71,0.74,17,135,120,5
芜湖,73,23,48,0.63,18,122,126,6
吴江,95,29,59,0.7,27,163,152,8
五家渠,60,6,23,0.3,6,136,110,7
乌兰察布,83,26,114,0.2,11,128,119,19
乌鲁木齐,51,24,50,0.61,16,118,89,10
武威,99,49,146,0.45,10,107,96,4
无锡,104,21,54,0.39,13,173,163,8
吴忠,141,67,229,0.27,8,102,87,17
梧州,46,21,45,0.67,14,82,76,6
厦门,34,10,26,0.28,17,54,66,7
西安,140,44,98,1.0,25,277,173,9
湘潭,53,21,44,0.75,14,105,102,10
湘西州,52,32,52,0.87,8,92,82,3
襄阳,103,32,80,1.65,12,180,162,9
咸宁,64,18,41,0.97,6,132,115,2
咸阳,124,33,96,0.83,17,246,184,14
孝感,79,24,50,0.65,3,143,133,8
锡林郭勒盟,70,9,88,0.5,14,97,97,9
兴安盟,54,6,22,0.35,8,102,103,2
邢台,64,39,50,0.6,10,140,115,10
西宁,140,67,228,1.33,20,69,74,12
新乡,81,26,35,1.02,14,153,136,12
信阳,72,26,57,0.45,7,145,125,6
新余,59,27,47,1.04,28,111,109,31
忻州,134,60,106,0.77,20,240,196,15
西双版纳州,48,14,37,0.55,10,102,94,9
宣城,45,24,39,0.4,12,90,89,6
许昌,105,31,86,0.9,13,208,158,9
徐州,48,16,42,0.8,19,112,95,11
雅安,111,74,103,0.67,13,212,171,17
延安,106,26,37,0.88,12,175,165,10
延边州,50,12,38,0.4,16,77,98,10
盐城,87,29,70,0.68,17,134,143,12
阳江,26,9,24,0.53,4,44,50,8
阳泉,133,101,147,1.22,13,222,184,7
扬州,76,18,75,0.65,17,115,129,10
烟台,63,26,73,0.53,24,117,104,6
宜宾,172,58,82,0.9,18,257,236,26
宜昌,56,29,59,0.78,19,104,102,7
宜春,55,21,34,0.58,7,104,104,7
伊春,32,9,9,0.25,6,74,62,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,53,14,14,0.25,5,132,102,8
银川,106,43,160,0.61,16,123,109,30
营口,56,18,28,0.48,13,116,105,3
鹰潭,56,11,17,0.28,5,113,106,5
义乌,71,24,36,0.35,17,150,124,7
宜兴,80,23,45,0.45,12,140,134,7
益阳,70,16,35,0.73,10,122,122,8
永州,41,18,35,0.48,13,83,81,8
岳阳,71,20,40,0.52,9,132,123,12
玉林,47,22,46,0.73,11,75,78,16
榆林,124,40,51,0.85,11,197,185,7
运城,112,31,49,0.76,8,191,172,11
云浮,34,14,24,0.4,6,71,67,9
玉树州,48,13,42,0.3,7,96,94,5
玉溪,61,17,40,0.45,9,120,112,7
枣庄,54,16,56,0.4,12,117,100,7
张家港,97,21,74,0.4,18,168,155,4
张家界,49,24,48,0.78,9,107,91,7
张家口,134,56,135,1.46,21,227,196,17
章丘,60,42,68,0.5,24,87,58,8
张掖,58,26,30,0.0,6,108,108,3
漳州,48,15,36,0.53,10,93,95,13
湛江,30,13,26,0.55,7,48,59,5
肇庆,40,21,38,0.5,14,83,78,7
昭通,64,2,21,0.25,7,127,115,8
招远,57,31,61,0.5,11,102,100,4
郑州,75,34,79,0.94,21,179,113,6
镇江,68,23,42,0.4,8,123,120,4
中山,36,16,26,0.53,6,76,70,5
中卫,152,86,251,0.63,8,114,112,9
周口,66,33,56,0.68,10,127,118,6
舟山,37,19,36,0.67,13,80,61,7
珠海,31,12,19,0.45,6,62,60,3
诸暨,0,0,0,0.0,0,0,0,0
驻马店,66,25,47,0.5,7,118,117,8
株洲,55,26,40,0.54,12,104,104,8
淄博,59,26,64,1.6,28,87,109,8
自贡,167,58,96,0.73,8,270,231,10
资阳,117,32,67,0.48,14,198,177,9
遵义,83,27,50,0.6,17,156,138,14
