City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
莱西,35,19,34,0.35,9,58,43,10
莱州,31,5,30,0.55,11,57,44,9
廊坊,23,11,21,0.48,22,42,44,6
兰州,104,76,156,3.42,80,13,14,64
拉萨,89,54,126,1.55,53,23,22,10
乐山,97,72,102,1.08,44,31,15,9
凉山州,39,27,35,0.93,23,66,72,7
连云港,38,17,37,0.7,23,52,34,20
聊城,28,7,27,0.57,19,51,42,16
辽阳,69,49,73,0.93,30,28,16,43
辽源,163,123,138,2.15,50,21,12,19
丽江,116,87,112,1.77,37,42,57,12
临安,72,36,92,0.7,31,75,56,14
临沧,49,23,48,1.3,27,30,38,21
临汾,296,245,334,4.93,74,7,5,290
临夏州,82,53,111,2.65,45,18,22,46
临沂,61,29,69,0.88,46,31,15,29
林芝,41,23,40,0.55,22,30,45,5
林芝地区,18,4,16,0.35,6,51,35,3
丽水,61,38,70,0.87,35,25,18,11
六盘水,98,73,104,0.9,41,56,63,40
柳州,75,54,84,0.93,29,39,43,40
溧阳,71,49,90,0.75,57,36,34,31
陇南,100,75,115,0.8,44,4,1,44
龙岩,52,16,51,0.48,20,78,71,15
娄底,64,24,75,2.36,36,23,19,22
六安,67,35,81,0.7,44,66,56,4
漯河,82,59,112,0.95,39,36,20,19
洛阳,89,50,125,1.76,67,13,11,36
泸州,127,96,144,1.33,65,6,5,48
吕梁,185,139,180,2.77,54,12,11,216
马鞍山,89,66,119,1.4,66,21,15,29
茂名,54,28,56,0.7,17,54,40,19
眉山,85,62,104,1.33,48,11,19,12
梅州,65,31,78,1.03,37,39,39,6
绵阳,149,114,156,1.35,54,10,8,13
牡丹江,52,35,51,0.72,24,48,39,13
南昌,67,30,81,0.94,50,27,14,23
南充,91,67,111,1.08,51,45,46,15
南京,92,59,132,1.14,89,18,10,21
南宁,65,41,78,1.08,55,18,7,20
南平,49,26,48,0.83,25,42,34,10
南通,69,49,86,0.92,47,38,32,26
南阳,80,50,107,1.52,63,34,23,11
那曲地区,148,113,180,2.5,29,50,52,17
内江,124,93,141,1.23,59,8,6,40
宁波,63,39,73,0.78,40,44,29,19
宁德,43,11,42,0.63,27,50,43,10
怒江州,38,14,37,1.0,27,18,20,8
盘锦,38,14,37,0.73,14,62,54,19
攀枝花,76,55,96,1.8,47,15,21,52
蓬莱,30,1,27,0.9,7,61,59,5
平顶山,79,41,106,0.78,33,50,40,24
平度,52,30,51,1.3,28,26,12,11
平凉,77,53,101,1.45,71,20,26,49
萍乡,94,70,133,2.38,40,14,12,42
普洱,18,10,16,0.75,10,30,35,3
莆田,35,14,34,0.44,15,80,67,8
濮阳,37,19,36,0.73,19,59,26,10
黔东南州,83,61,93,1.15,31,3,1,17
黔南州,67,48,72,1.0,46,7,15,72
黔西南州,41,8,40,1.3,26,34,29,24
青岛,58,23,63,0.73,28,35,30,15
庆阳,94,70,87,1.7,47,49,57,107
清远,41,20,40,0.7,30,73,57,19
秦皇岛,24,10,23,0.54,13,64,44,12
钦州,62,39,72,0.93,28,46,35,29
齐齐哈尔,39,22,38,0.78,23,57,61,40
七台河,80,36,107,0.53,25,55,43,11
泉州,38,16,37,0.38,18,91,74,9
曲靖,67,48,65,1.15,26,62,57,11
衢州,73,44,94,0.83,56,15,6,34
日喀则,62,11,72,1.0,24,36,30,9
日喀则地区,29,6,27,0.35,2,68,56,5
日照,42,14,41,0.4,9,53,39,9
荣成,53,16,54,0.45,3,67,61,8
乳山,51,9,50,0.55,11,71,46,8
三门峡,100,59,147,1.48,54,11,4,31
三明,53,25,54,1.53,37,30,16,18
三沙,30,7,20,0.3,30,51,58,6
三亚,37,19,36,0.55,16,48,57,1
上海,75,54,88,1.1,59,36,21,28
商洛,61,26,69,0.8,42,30,29,7
商丘,86,44,119,0.98,40,33,17,25
上饶,94,70,115,1.43,34,14,7,268
山南,54,30,56,1.4,34,26,34,6
山南地区,40,5,21,0.45,6,65,79,4
汕头,53,22,53,0.82,28,66,58,18
汕尾,42,13,31,0.6,15,80,83,10
韶关,60,35,67,1.14,41,24,10,28
绍兴,91,44,130,0.89,48,46,29,24
邵阳,148,113,150,1.08,33,11,5,131
沈阳,93,69,104,1.12,38,26,14,47
深圳,39,19,34,0.66,23,76,76,8
石河子,462,435,561,3.8,111,10,8,5
石家庄,57,36,62,0.93,37,32,22,28
十堰,57,35,62,1.15,43,37,38,13
石嘴山,104,77,117,1.75,36,17,14,50
寿光,62,43,71,1.2,38,36,27,46
双鸭山,32,22,26,0.53,14,56,55,8
朔州,196,147,216,1.84,59,14,18,146
四平,147,112,150,1.7,54,37,15,40
松原,75,54,75,1.85,28,36,38,16
绥化,39,5,13,1.1,24,69,77,17
遂宁,120,80,188,1.33,51,7,5,13
随州,70,50,74,2.07,54,17,11,15
宿迁,69,48,86,1.87,47,23,7,28
苏州,91,67,112,1.1,65,36,21,33
宿州,122,92,154,1.03,59,33,18,19
塔城地区,32,8,21,2.9,20,36,62,4
泰安,24,12,0,0.63,14,58,46,12
太仓,110,82,151,2.4,73,24,10,62
太原,55,24,57,0.83,35,43,29,27
台州,58,27,63,0.83,31,61,39,16
泰州,110,82,140,1.38,53,30,18,35
唐山,43,25,42,0.67,29,39,30,20
天津,38,13,37,0.82,22,44,35,15
天水,131,99,164,1.9,48,32,32,42
铁岭,113,84,124,0.73,28,25,16,28
铜川,55,36,58,1.58,34,47,46,33
通化,104,77,92,1.7,47,22,12,67
通辽,39,24,38,0.63,15,57,59,15
铜陵,96,71,130,1.1,77,30,25,35
铜仁地区,44,23,43,1.5,21,11,9,8
吐鲁番地区,149,114,175,3.2,68,5,3,43
瓦房店,52,11,52,0.35,13,56,51,15
潍坊,64,30,75,1.02,27,33,20,41
威海,30,9,29,0.23,8,61,57,4
渭南,130,98,197,2.15,85,8,4,26
文登,55,8,57,0.6,16,59,52,6
文山州,45,21,44,0.6,18,65,53,6
温州,65,35,77,1.0,43,37,12,19
乌海,73,40,94,1.27,45,34,16,20
武汉,88,58,124,1.04,68,12,8,21
芜湖,114,85,130,1.23,77,21,11,38
吴江,79,56,106,1.0,59,32,24,22
五家渠,395,344,468,7.0,92,4,2,21
乌兰察布,30,20,29,0.85,28,49,52,45
乌鲁木齐,191,143,264,3.56,89,21,21,17
武威,121,91,134,3.35,68,21,16,40
无锡,100,75,141,1.97,55,30,13,35
吴忠,85,62,89,1.3,34,17,26,47
梧州,61,40,69,1.17,51,14,16,18
厦门,38,19,37,0.33,24,69,60,7
西安,136,103,159,2.13,81,14,8,36
湘潭,106,79,115,1.49,64,9,8,23
湘西州,69,40,86,0.93,17,7,3,5
襄阳,106,79,126,1.18,64,14,8,22
咸宁,70,41,87,1.15,38,24,19,1
咸阳,161,122,179,1.93,77,15,8,28
孝感,66,38,80,1.2,46,18,7,10
锡林郭勒盟,28,15,27,0.5,9,49,38,23
兴安盟,52,30,52,1.0,27,38,53,19
邢台,52,30,52,0.7,19,61,30,11
西宁,91,67,110,3.45,44,15,24,31
新乡,52,25,52,0.68,28,54,37,8
信阳,72,45,91,1.23,41,45,31,12
新余,85,56,117,1.74,44,10,8,63
忻州,58,37,63,0.73,32,38,30,67
西双版纳州,21,8,20,0.7,13,27,34,0
宣城,82,57,111,0.83,58,54,48,18
许昌,76,55,91,1.23,35,38,30,35
徐州,105,78,158,1.56,59,22,9,79
雅安,97,72,107,1.02,36,46,41,52
延安,77,53,102,2.38,56,26,12,124
延边州,40,13,26,0.43,8,84,78,10
盐城,75,29,97,0.7,27,52,33,19
阳江,37,16,36,0.47,10,83,69,10
阳泉,89,54,126,2.02,56,24,17,98
扬州,113,54,173,0.85,47,36,16,18
烟台,32,10,31,0.28,9,61,59,10
宜宾,121,91,123,1.73,57,6,5,45
宜昌,99,74,124,1.44,54,10,9,14
宜春,73,46,94,1.18,37,18,15,23
伊春,29,20,23,0.43,15,47,48,10
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,114,85,103,5.17,86,7,12,48
银川,80,50,108,1.87,54,29,28,69
营口,34,10,33,0.18,17,74,64,13
鹰潭,73,48,93,0.82,41,12,16,13
义乌,70,39,87,0.9,57,20,10,16
宜兴,83,61,103,1.95,68,17,6,30
益阳,74,53,95,1.96,43,16,14,40
永州,79,52,105,0.93,34,19,15,24
岳阳,72,47,92,1.37,47,17,14,18
玉林,59,29,66,1.07,34,40,25,15
榆林,70,48,88,1.73,58,25,12,40
运城,196,147,218,3.24,57,18,10,139
云浮,57,29,61,0.87,39,11,5,13
玉树州,80,58,108,1.6,48,12,28,231
玉溪,43,21,42,0.67,14,59,62,8
枣庄,82,54,112,0.88,31,45,18,43
张家港,89,61,126,0.75,53,32,12,21
张家界,71,51,77,1.38,35,27,28,7
张家口,33,23,26,0.54,14,59,56,15
章丘,43,14,42,0.9,19,41,36,25
张掖,57,30,62,0.85,26,24,31,16
漳州,36,18,35,0.67,22,68,64,12
湛江,39,26,38,0.6,21,44,42,23
肇庆,55,26,57,0.83,45,41,36,16
昭通,63,31,74,0.9,28,54,68,30
招远,27,4,26,0.4,12,47,42,8
郑州,66,39,79,1.0,39,35,28,19
镇江,125,94,150,1.05,81,12,6,27
中山,53,28,53,0.53,47,47,42,23
中卫,45,29,44,0.83,38,31,39,37
周口,93,69,126,1.13,36,38,29,22
舟山,55,27,58,0.87,19,61,52,13
珠海,43,23,42,0.63,26,83,78,11
诸暨,63,34,74,0.7,25,21,4,11
驻马店,67,48,82,0.8,35,50,43,20
株洲,105,78,131,1.73,56,11,8,60
淄博,42,23,41,1.3,21,41,30,43
自贡,138,105,146,1.8,99,27,32,23
资阳,104,77,131,1.52,48,7,9,13
遵义,76,55,91,1.5,45,7,8,63
