City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
日喀则,57,15,61,0.65,4,119,82,6
日喀则地区,29,6,27,0.35,2,68,56,5
日照,142,105,231,1.07,45,157,72,31
荣成,80,37,63,1.0,18,183,127,18
乳山,77,39,72,1.05,17,164,131,16
三门峡,58,38,64,0.65,26,74,35,23
三明,50,32,49,1.25,20,92,52,14
三沙,30,7,20,0.3,30,51,58,6
三亚,19,11,18,0.45,4,39,27,3
上海,46,29,45,0.52,51,113,81,15
商洛,54,15,56,0.6,20,88,40,4
商丘,64,39,69,1.05,9,135,115,8
上饶,86,61,120,1.02,10,149,83,27
山南,50,8,16,0.35,6,132,99,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,81,32,53,0.77,12,165,136,10
汕尾,73,35,66,0.9,13,147,126,8
韶关,82,60,63,0.92,29,67,35,20
绍兴,107,49,116,0.82,17,211,109,8
邵阳,39,19,38,1.06,16,39,28,15
沈阳,81,36,83,0.7,17,166,135,12
深圳,55,38,57,0.8,17,116,93,6
石河子,48,12,34,0.7,7,102,95,8
石家庄,122,92,172,1.2,52,105,46,35
十堰,40,18,39,0.73,12,90,56,10
石嘴山,66,18,79,0.45,11,118,65,17
寿光,82,52,87,1.05,14,184,111,21
双鸭山,66,35,51,0.37,11,124,117,2
朔州,66,16,80,0.4,13,128,84,8
四平,82,57,112,0.93,17,142,122,12
松原,126,21,200,0.35,7,86,76,2
绥化,62,20,71,0.3,6,78,73,4
遂宁,29,16,24,0.57,8,92,40,9
随州,55,37,58,0.77,9,119,84,4
宿迁,71,51,74,0.8,17,167,106,9
苏州,86,63,86,0.74,40,181,76,13
宿州,71,51,72,0.6,20,165,117,6
塔城地区,71,4,15,1.0,29,148,124,3
泰安,80,58,72,0.87,16,115,64,6
太仓,65,46,66,0.65,46,139,55,18
太原,121,91,176,1.59,50,137,53,67
台州,106,52,85,0.7,21,209,123,8
泰州,97,72,122,0.95,42,148,62,19
唐山,115,86,140,1.4,31,178,89,27
天津,141,107,121,1.66,37,137,70,30
天水,54,34,55,0.4,13,120,53,10
铁岭,87,43,108,0.57,14,184,143,8
铜川,62,27,71,1.18,30,98,44,20
通化,72,23,56,0.7,11,176,104,9
通辽,500,55,649,0.3,8,81,84,5
铜陵,85,62,101,0.93,39,100,78,58
铜仁地区,44,19,43,1.15,27,24,17,2
吐鲁番地区,119,48,185,0.8,20,58,36,8
瓦房店,73,44,76,0.4,17,177,126,11
潍坊,81,57,110,0.66,13,179,117,17
威海,102,40,53,0.67,26,196,161,11
渭南,63,32,73,0.53,32,86,33,58
文登,89,39,87,0.9,25,190,123,13
文山州,48,6,8,0.6,10,116,94,4
温州,108,57,88,0.73,26,214,130,13
乌海,62,21,71,0.53,20,129,78,14
武汉,74,49,96,1.19,43,99,72,13
芜湖,77,54,97,1.37,37,180,62,19
吴江,105,49,101,0.83,37,207,101,16
五家渠,35,0,0,0.8,11,101,68,11
乌兰察布,55,4,23,0.2,8,126,104,14
乌鲁木齐,86,20,119,0.73,18,88,65,7
武威,89,41,125,0.35,9,126,70,4
无锡,102,50,89,0.79,24,202,95,14
吴忠,45,20,44,0.23,6,91,44,6
梧州,54,37,48,1.3,23,32,32,12
厦门,60,38,68,0.7,17,129,88,10
西安,59,28,65,0.81,35,97,38,10
湘潭,96,71,70,0.85,28,51,52,9
湘西州,38,24,37,0.87,24,41,23,4
襄阳,32,12,29,0.75,12,97,63,12
咸宁,76,55,77,1.13,27,91,66,2
咸阳,65,34,77,0.83,20,89,30,12
孝感,72,52,66,0.9,4,150,88,11
锡林郭勒盟,129,29,206,0.3,7,111,93,15
兴安盟,48,3,12,0.3,6,109,95,3
邢台,120,84,187,3.03,64,139,55,60
西宁,124,93,111,0.83,16,115,64,11
新乡,71,51,76,1.17,15,120,48,25
信阳,66,47,62,0.7,12,137,85,5
新余,72,52,84,1.2,36,82,60,50
忻州,92,68,128,0.7,37,121,51,21
西双版纳州,42,13,41,0.45,6,101,53,4
宣城,81,59,99,0.83,29,141,86,7
许昌,55,19,57,1.0,16,99,54,9
徐州,71,44,72,0.8,14,166,124,13
雅安,46,28,45,0.35,20,62,48,13
延安,45,17,44,0.9,21,140,50,14
延边州,69,21,75,0.43,9,174,110,6
盐城,71,51,86,0.78,18,144,88,20
阳江,94,70,104,1.43,42,68,43,18
阳泉,73,49,94,0.52,18,118,66,12
扬州,110,82,148,1.13,41,124,53,19
烟台,101,49,102,0.84,26,200,126,18
宜宾,43,12,32,0.6,17,134,60,18
宜昌,71,51,85,0.92,21,92,41,12
宜春,78,57,72,1.04,22,88,37,26
伊春,55,13,29,0.2,2,107,104,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,39,13,14,0.7,15,92,76,13
银川,69,25,86,0.46,16,105,59,21
营口,104,58,91,0.88,18,205,151,29
鹰潭,61,43,69,0.56,22,130,74,18
义乌,106,53,72,0.7,26,209,111,9
宜兴,70,50,73,1.35,30,167,96,21
益阳,56,30,59,1.22,16,81,72,9
永州,46,32,42,0.74,19,73,48,6
岳阳,87,64,85,1.05,20,97,67,7
玉林,50,35,47,1.23,14,37,25,9
榆林,50,14,49,0.68,14,131,44,7
运城,72,52,81,0.6,10,132,57,29
云浮,66,47,57,1.15,68,16,11,11
玉树州,57,17,61,0.4,3,125,77,3
玉溪,74,43,92,0.67,11,156,127,9
枣庄,72,38,76,0.46,9,159,125,14
张家港,81,56,110,0.65,32,175,72,12
张家界,48,33,44,0.73,10,92,48,7
张家口,83,13,113,0.68,9,125,102,9
章丘,80,58,84,0.65,14,139,110,14
张掖,82,37,111,0.5,6,113,58,5
漳州,79,49,106,0.9,31,178,97,16
湛江,39,21,27,0.83,10,105,76,6
肇庆,89,66,74,1.13,56,18,11,13
昭通,52,9,51,0.3,9,106,87,6
招远,84,48,115,1.1,11,174,85,16
郑州,59,26,66,0.77,20,148,57,14
镇江,117,88,108,1.0,39,157,76,13
中山,75,54,79,1.15,69,20,8,8
中卫,74,28,95,0.4,6,121,93,11
周口,45,16,42,0.78,9,123,89,9
舟山,39,19,33,0.83,40,107,76,49
珠海,51,30,50,0.85,43,89,62,6
诸暨,0,0,0,0.0,0,0,0,0
驻马店,56,36,59,0.67,9,132,75,11
株洲,61,42,70,0.79,36,37,40,18
淄博,81,59,91,1.02,17,166,112,19
自贡,67,48,62,0.6,13,118,48,10
资阳,49,26,48,0.52,19,109,53,11
遵义,22,13,21,0.5,19,54,24,6
